"","H.G","Elec","P.A","Fashion"
"209",7266183.12628047,4287012.88106958,4603811.64182296,2778630.47778156
"210",6402300.95068154,3788538.31251149,4076396.5745888,2457900.04919089
"211",6818215.25605214,3635787.18195563,3732953.92669191,2523535.58653013
"212",10831488.8830597,4715224.53781732,5332410.37367929,3916879.30758824
"213",8826970.23069984,4807068.5270445,5875221.30409609,2980259.80087008
"214",8274845.39605891,4657615.82577972,5550283.77072789,2923954.13488044
"215",8191802.1965694,4470290.59852498,5557571.38511789,3027357.38166846
"216",7959509.44236718,4513736.12273444,5434680.99564839,3086407.98975818
"217",7553864.29934126,4388650.29280713,4781131.91780393,2939226.54403381
"218",7676186.62632084,3663710.1682302,4280583.64189421,2901206.73245718
"219",12679017.3048721,5248555.5756415,6554674.18590747,4596824.25088809
"220",9763201.75803052,5315068.19630633,6864097.62491705,3407756.34633866
"221",9068898.73053345,4807607.7793273,6252136.65326428,3184296.67644151
"222",8626560.62633494,4642731.60594264,6046966.07211622,3118912.39143573
"223",8128939.7069614,4473250.35676757,5558656.34827035,3016486.25948079
"224",7046542.48068592,3870375.25464638,4674762.72993267,2639961.48618423
"225",7083357.65915235,3383615.98753118,4284172.91663917,2670806.06946159
"226",11805327.1315394,4410088.79477081,6525851.73859351,3958282.03377991
"227",10137623.6972207,4658367.23924441,7684502.27337504,3333288.38604014
"228",9298295.55902372,4564350.83276896,6910374.30423475,3221228.65559862
"229",8951197.89687799,4537159.55708131,6485210.44668097,3079430.38114404
"230",8401480.98596784,4590153.72364615,5895941.63644116,3034397.09963002
"231",7311835.09090559,4003658.3194786,4943621.57279983,2763215.11196715
"232",7649599.32720315,3565964.10666956,4522210.97214087,2882690.58376483
"233",12525201.2437776,4802203.35842111,6704169.645401,4234160.34639782
"234",9926590.9214047,4768636.92924609,7275744.97005061,3215094.26608917
"235",9120812.80531968,4346901.88838334,6615380.88089645,3050731.40122918
"236",8636487.74913161,4307948.7051452,6813349.64078125,2962789.21794883
"237",8054483.89549877,4217398.3296742,6804996.6937722,2961406.570611
"238",6910456.18835852,3546972.00648245,5479317.45143781,2520683.08170531
